Right,Wrong 
Geometrodynamical Formulation of Two-Dimensional Dilaton Gravity and the Quantum Birkhoff Theorem,A Determination of Semidefinite Programming on ALE Fibrations From Abelian Flow Equations
Top-Quark Mass Data and the Sum of Quasi-Degenerate Neutrino Masses (One Small Electroweak-bound E-parameter Organizes Elementary Particle 3-flavor Phenomenology),A RS Reduction of Models of Inflation Conjectured From Kloosterman Sums
Electroweak Baryogenesis in a Supersymmetric Model,Remarks on Elastic Inflation at LIGO
Second Cluster Integral and Excluded Volume Effects for the Pion Gas,T-duality in the MSSM
Semiclassical Approximation in Batalin-Vilkovisky Formalism,Comments on the RS1/SUSY SYK Model Correspondence
Future Probes of the Origin of CP Violation,On Clebsch-Gordon Decomposition (Excluding Bubbles on the Surface of the Sun) (Involving a Resolution of the Cosmological Constant Problem)
Vector Boson Pair Production in Hadronic Collisions at Order $Alpha_s$: Lepton Correlations and Anomalous Couplings,A Small Black Brane Formed From Collapse at the Intermediate Scale in S-dualities on 7 Copies of dS_5
A New Regime for Dense String Networks in the One Scale Model With Friction,Clarifying QED_3 With a Primary Defect on a Dih_3 Quotient of Hyper-Kahler De Sitter Space in Clebsch-Gordon Decomposition on a Kahler Rational Surface
Solitonic Brane Inflation,Mathematica School Lectures on Z-bosons
Yukawa Matrix for the Neutrino and Lepton Flavour Violation,Considering Anomaly Matching
On the Problem of Particle Production in C=1 Matrix Model,Progress in Kloosterman Sums in QED_3 Dimensionally Reduced on the Moduli Space of Moduli Spaces of Del-Pezzos Fibered Over T^6
Proof of a Symmetrized Trace Conjecture for the Abelian Born-Infeld Lagrangian,"Nontrivial Gerbs as Charges on an ALE Fibration of Ext^5(\R,\mathbb{H}) Holonomy Fibered Over a Compact ALE Fibration"
Phase Transition Induced by a Magnetic Field,A Firewall Reexamined
Dynamic Properties of Charmonium,From a Stack of Black Branes at the Planck Scale to a Probe of a Holographic-dual of a Model of Dark Energy From Discrete Anomaly Matching
Exact Consequences of the Trace Anomaly in Four Dimensions,Classifying Abelian Type-1 Factors: A Firewall
Gerbe-holonomy for Surfaces With Defect Networks,Deriving Dark Matter at the Weak Scale: A Nonperturbative Conjecture
Global Analysis of Bhabha Scattering at LEP2 and Limits on Low Scale Gravity Models,An Extension of Duality in Models of Flavor Implements the SUSY SYK Model/dS_2 Correspondence
Finiteness and the Higgs Mass Prediction,Orientifold Planes in the Early Universe Are Cosmological
Electroproduction of a Light Neutral Vector Meson at Next-to-leading Order,Trouble for Amplitudes
Collective Neutrino-pair Emission Due to Cooper Pairing of Protons in Superconducting Neutron Stars,An A-type Instanton at SNO and Some Specific Cases of Scattering Amplitudes
Duality in the Color Flavor Locked Spectrum,Integrability on Del-Pezzos via Tensor Networks During Inflation
Theoretical Predictions for Collider Searches,The Superconformal Compactification of Models of Heavy Ions Predicts Semidefinite Programming on a Compact N-manifold
"Octet Baryon Charge Radii, Chiral Symmetry and Decuplet Intermediate States",CERN Winter School Lectures on General Flow Equations
Self--Dual Supergravity and Supersymmetric Yang--Mills Coupled to Green--Schwarz Superstring,Instanton Gas at the GUT Scale
Invariant-mass Distribution of Cc-bar in Upsilon(1S) -> Cc-bar + X,From Some Novel Cases of an Extremal Black Brane Formed From Collapse to a Computation of Flavor at Future E+e- Colliders
Width and Partial Widths of Unstable Particles,High-scale Models for Condensates and a Computation of Equivariant Unitarity Using Examples of Analyticity in Spin in Asymmetric Inflation
A Prediction for the 4-Loop \Beta Function,Discrete Charges
Inverse Problem of Cosmic-Ray Electron/Positron From Dark Matter,Obtaining Hilbert Schemes in Supergravity: The U-dual of the Large Mass Tricritical Ising Model
Parton Energy Loss Due to Synchrotron-like Gluon Emission,Invertible Einstein Gravity
Holographic Quantum Liquids in 1+1 Dimensions,From the Hilbert Space in M-Theory Deformed by Surface Operators to Symplectic Quotients in QCD_3 With Singlet Fermions Deformed by Line Operators
Effective Fields in Dense Quantum Chromodynamics,Nonvanishing Line Bundles
Four-jet Production in $E^+e^-$ Annihilation at Next-to-leading Order,Chaos on C^2
Three-Loop Radiative-Recoil Corrections to Hyperfine Splitting in Muonium,A Bulk Extension of Alternative Models
Superstring Field Theory Equivalence: Ramond Sector,A Lifshitz Point
The Ubiquitous Throat,TASI Lectures on Nonvanishing Quasimodular Forms
Measuring the A0-a2 Pion Scattering Lengths Through K to 3 Pi Decays,On Kk Gravitons
Are Neutrinos Dirac or Majorana Particles?,Representations on N Copies of T^6 Are Subleading
Quadruple Yukawa Unification in the Minimal Supersymmetric Model,Predictive Models of Condensates
Avoidance of Classical Singularities in Quantized Gravitational Dust Systems,Progress in Nahm's Equations in a M-dimensional TQFT Deformed by Defect D-terms
Dominance of a Single Topological Sector in Gauge Theory on Non-commutative Geometry,Hadrons Using the U(1) Problem
Quark-antiquark and Diquark Condensates in Vacuum in Two-flavor Four-fermion Interaction Models With Any Color Number $N_c$,Type I Strings and Modular Forms on Euclidean Enriques Surfaces
Theoretical Expectations for the Top-quark Mass,Novel Approaches to the Typical State Problem
From Hard Thermal Loops to Langevin Dynamics,Dimensionality on a Planar Atiyah-Hitchen Manifold and Nonlocal Models With Ghosts
Proton Structure Functions and Quark Orbital Motion,Extending F-Theory Extremizes the Reduction of Einstein Gravity With Gauge Group Spin(6) on Manifolds With Equivariant Hyperkahler Structure
Graceful Exit and Energy Conditions in String Cosmology,Constructing Neutrinos: A Macroscopic Procedure
From the Dirac Operator to Wess-Zumino Models on Spatial Lattices,The TQFT/TQFT Correspondence
Neutrino Mixing Due to a Violation of the Equivalence Principle,Gerbs on Moduli Spaces of \Z Bundles Over AdS_m and Representations on Moduli Spaces of Moduli Spaces of Line Bundles Over an Enriques Surface
"GL(2,R) Dualities in Generalised Z(2) Gauge Theories and Ising Models",Quasimodular Forms in M+1-dimensional QFTs on C^n
The No-ghost Theorem for String Theory in Curved Backgrounds With a Flat Timelike Direction,The Compactification of N+1-dimensional Supergravity (Taking Into Account a Solution to the U(1) Problem (Taking Into Account Discrete Marginal Operators))
On the $G_2$ Manifestation for Longitudinally Polarized,From a Certain Notion of Trivial Structure to the Little Hierarchy Problem
"U(1) Connection, Nonlinear Dirac-like Equations and Seiberg-Witten Equations",From Representation Theory to Causality
The Semiclassical Approach to Small X Physics,Index Theorems on Atiyah-Hitchen Manifolds Obtained From Integration Cycles
MSSM With Dimension-five Operators (MSSM_5),Bubbles at $\Lambda_{QCD}$ Implemented via Central Charges
Erratum: New Methods of Testing Lorentz Violation in Electrodynamics,The Bogoliubov Tricritical Ising Model
Theoretical Review of B-physics,Comment on a Proposal by Feynman
A QCD TREATMENT OF THE WEAK DECAYS OF HEAVY FLAVOUR HADRONS -- WITHOUT VOODOO AND UNDUE INCANTATIONS,N-dimensional Black Branes as Index Theorems in N=4 Matrix Models
Black Hole Solutions of Kaluza-Klein Supergravity Theories and String Theory,A Measurement of the Generalized Second Law in QCD_3 With Singlet M-forms Using Anthropic Fluctuations During Inflation Revisited
Fourier Transforms of UD Integrals,Solving Feynman Diagrams in Type IIA Strings Deformed by Line Operators
A Comment on the Lepton Mixing Matrix,Automorphic Forms on T^4
W+3 Jet Production at the LHC as a Signal or Background,Instanton Gas at the Edge of Our Universe Predicted via Vortex Equations
B Decays in the Standard Model - Status and Perspectives,W-boson Collisions
Two-dimensional Topological Gravity and Equivariant Cohomology,Firewalls as a D2 Instanton
Entropy Production in Collisions of Gravitational Shock Waves and of Heavy Ions,A Black Hole Formed From Collapse and Models of Bubbles
SELF-DUAL ANYONS IN UNIFORM BACKGROUND FIELDS,Hypersurface Defects Are Longitudinal
Time-ordered Perturbation Theory on Noncommutative Spacetime II: Unitarity,Physical Approaches to the Confinement Problem
Remote Inflation as Hybrid-like Sneutrino/MSSM Inflation,Coleman Mechanics and Reisner-Nordstrom Black Holes Formed From Collapse
"Quasi-classical Limit of KP Hierarchy, W-symmetries and Free Fermions",Some Little-known Investigations of Harmonic Analysis
Gold-plated Processes at Photon Colliders,Comments on Donaldson-Witten Invariants on S^m
Inflationary Cosmology in the Central Region of String/M-theory Moduli Space,Entropic Approaches to the Naturalness Problem
Longitudinal Transitions of Baryon Resonances in Constituent Quark Model,Progress in Gerbs in a N=5 NCFT
The Effect of R Parity Violating Couplings on E^-e^-->{ Ilde E}_L { Ilde E}_R,The Naturalness Problem Using Some Specific Paradigms of Scattering Amplitudes in the Ising Model
Gauge-Higgs Unification and LHC/ILC,Quantum Approaches to the Mu/B_mu Problem
Quantum Corrections to Monopoles,Currents on Squashed Riemann Surfaces
"Non-threshold (F, Dp) Bound States",The LHC Inverse Problem as Some General Cases of the Hayden-Preskill Protocol in a Model of Condensates
Abelian Vortex in Bagger-Lambert-Gustavsson Theory,N-dimensional Fluctuations at M Loops
Landau-Pomeranchuk-Migdal Effect in Thermal Field Theory,Duality as Semidefinite Programming
Non-BPS Attractors in 5d and 6d Extended Supergravity,Remarks on a Large Black Hole Formed From Collapse
Chiral Quark Model Calculation of the Momentum Dependence of Hadronic Current Correlation Functions at Finite Temperature,Singular Models of Hybrid Fluctuations
Integrable Submodels of Nonlinear $Sigma$-models and Their Generalization,Considering a Certain Notion of Chaos: Higgses
Four Generations and Higgs Physics,Some Little-known Frameworks of Classifying Type IIB on M_n(\C) Bundles Over the Moduli Space of dS_m Bundles Over G_2 Quotients of Moduli Spaces of Warped Manifolds Fibered Over the NUT of the Near Horizon Geometry of a Non-compact Hirzebruch Surface Fibered Over P^n (Taking Into Account a Physical Solution to the Confinement Problem via Condensates at the Intermediate Scale)
How Does a Fundamental String Stretch Its Horizon?,The Swampland in Type IIA Realizes a Multi-field Solution of Gubser-Nekrosov Gravity
Left-Right Asymmetric Holographic RG Flow With Gravitational Chern-Simons Term,Gerbs in Topological String Theory on Affine Bundles Over Moduli Spaces of Linear Dilaton Backgrounds Fibered Over AdS_4 Fibered Over Riemann Surfaces Fibered Over T^m X P^n X P^3 X S^n
Pomeron Intercept From BFKL Gluon Dynamics in Deep Inelastic Charm Production at HERA,An Unexpected Solution of 1-dimensional Supergravity on dS_n
Dark Matter Signals From Cascade Annihilations,Constructing String Theories
Topologically Massive Gravity and the AdS/CFT Correspondence,Models of Condensates as Dions
Spinor Superalgebra: Towards a Theory for Higher Spin Particles,The Extension of Sheaf Cohomology in Heterotic String Theory vs NS5 Brane Fluctuations at Future Colliders
Integrability in N=2 Gauge Theory: A Proof,Black Branes in Our Solar System Conjectured From Divisors
Neutralino Cold Dark Matter in a One Parameter Extension of the Minimal Supergravity Model,Near-extremal Black Branes Formed From Collapse in the Early Universe and Black Branes
Direct Calculation of the Probability of Pionium Ionization in the Target,General Line Bundles vs WIMPs
Exclusive Vector Meson Production and Deeply Virtual Compton Scattering at HERA,S-duality
Effects of CP Phases on the Phenomenology of SUSY Particles,An Adjoint Low-energy Effective Theory on Kahler Atiyah-Hitchen Manifolds
Hard Exclusive Electroproduction of Pseudoscalar Mesons and QCD Axial Anomaly,The Mu Problem as Vanishing S-duality
Possible Studies of Parton Distribution Functions at JHF,Donaldson Polynomials on Moduli Spaces of AdS_n Bundles Over Symmetric Spaces With Equivariant Torsion
Two Loop Divergences Studied With One Loop Constrained Differential Renormalization,Thermodynamics (Involving Clebsch-Gordon Decomposition on a Spin Symmetric Space) Minimizes a Stack of Noncommutative Branes Wrapped on a N-fold of E_6 Holonomy Fibered Over the Moduli Space of \Z^m Orbifolds of R^n Bundles Over SL_m(\Q) Quotients of N Copies of T^m
Neutrinos in 5D SO(10) Unification,Integration Cycles in Type IIB Strings Deformed by Chern-Simons Terms Deduced via Metrics
Global Analysis of Inclusive B Decays,Einstein Gravity in the Presence of Instantons
Z_2 Orbifold Compactification of Heterotic String and 6D SO(16) and E_7 Times SU(2) Flavor Unification Models,Cosmic Rays at the Stretched Horizon Checked via Hyperkahler Quotients
Isospin in $B$ Decays and the $(B^0 \Bar B^0)/(B^+ B^-)$ Production Ratio,The N=8-dual of Non-perturbative Models of Inflation via Local Inflation in the Early Universe
"Quaternions, Lorentz Group and the Dirac Theory",The NCFT/T^m Correspondence Reexamined
